Company Name,Address,Phone,Mail,Website,Services Text,Services Html,PageUrl
A.M. PROPERTY SERVICES (BRISTOL) LTD.,"Henleaze House, 13 Harbury Road, Bristol, BS9 4PN, Great Britain",01179898236,info@rentinbristol.co.uk,//www.rentinbristol.co.uk,"['Residential Property Management', 'Residential Lettings', 'Block Management']","
						<div class=""member-directory-detail"">
							<div class=""logo"">
								
									<span class=""img-placeholder"">
										
											A
										
									</span>
								

							</div>
							<div class=""details"">
								<h6>A.M. Property Services (Bristol) Ltd.</h6>
								<p>
									Henleaze House, 13 Harbury Road, Bristol, BS9 4PN, Great Britain <br>
									
										<a href=""mailto:info@rentinbristol.co.uk"" target=""_top"">info@rentinbristol.co.uk</a> <br>
									
									01179898236
								</p>
								
									<p>
										<a href=""//www.rentinbristol.co.uk"" target=""_blank"">www.rentinbristol.co.uk <span class=""ico-propm-external-link""></span></a>
									</p>
								
							</div>
						</div>

						<p></p>

						
							<br>
							<h6>Services</h6>

							<div class=""panel bg-green-light"">
								<div class=""panel-body"">
									<ul>
										
											<li>Residential Property Management</li>
										
											<li>Residential Lettings</li>
										
											<li>Block Management</li>
										
									</ul>
								</div>
							</div>
						


						<br>

						
					",https://www.propertymark.co.uk/company/a-m--property-services--bristol--ltd-.html
A N ESTATES LTD,"410 Rayners Lane, Pinner, HA5 5DY, Great Britain",02088687722,,,"['Residential Lettings', 'Residential Sales']","
						<div class=""member-directory-detail"">
							<div class=""logo"">
								
									<span class=""img-placeholder"">
										
											A
										
									</span>
								

							</div>
							<div class=""details"">
								<h6>A N Estates Ltd</h6>
								<p>
									410  Rayners Lane, Pinner, HA5 5DY, Great Britain <br>
									
									02088687722
								</p>
								
							</div>
						</div>

						<p></p>

						
							<br>
							<h6>Services</h6>

							<div class=""panel bg-green-light"">
								<div class=""panel-body"">
									<ul>
										
											<li>Residential Lettings</li>
										
											<li>Residential Sales</li>
										
									</ul>
								</div>
							</div>
						


						<br>

						
					",https://www.propertymark.co.uk/company/a-n-estates-ltd-2.html
A-TOP MANAGEMENT SERVICES LIMITED,"1 Drapers Way, Stevenage, SG1 3DT, Great Britain",01438369173,,//www.a-topletting.co.uk,"['Residential Property Management', 'Residential Lettings']","
						<div class=""member-directory-detail"">
							<div class=""logo"">
								
									<span class=""img-placeholder"">
										
											A
										
									</span>
								

							</div>
							<div class=""details"">
								<h6>A-Top Management Services Limited</h6>
								<p>
									1 Drapers Way, Stevenage, SG1 3DT, Great Britain <br>
									
									01438369173
								</p>
								
									<p>
										<a href=""//www.a-topletting.co.uk"" target=""_blank"">www.a-topletting.co.uk <span class=""ico-propm-external-link""></span></a>
									</p>
								
							</div>
						</div>

						<p></p>

						
							<br>
							<h6>Services</h6>

							<div class=""panel bg-green-light"">
								<div class=""panel-body"">
									<ul>
										
											<li>Residential Property Management</li>
										
											<li>Residential Lettings</li>
										
									</ul>
								</div>
							</div>
						


						<br>

						
					",https://www.propertymark.co.uk/company/a-top-management-services-limited-2.html
A WILSON ESTATES LTD,"122 Mottram Road, Stalybridge, SK15 2QU, Great Britain",01613030778,info@wilsonestates.com,https://www.awilsonestates.com,"['Commercial Sales', 'Commercial Lettings', 'Residential Property Management', 'Residential Lettings', 'Valuation Property', 'Block Management', 'Residential Sales', 'Inventory', 'Auctions Real Property', 'Land and new homes']","
						<div class=""member-directory-detail"">
							<div class=""logo"">
								
									<span class=""img-placeholder"">
										
											A
										
									</span>
								

							</div>
							<div class=""details"">
								<h6>A Wilson Estates Ltd</h6>
								<p>
									122 Mottram Road, Stalybridge, SK15 2QU, Great Britain <br>
									
										<a href=""mailto:info@wilsonestates.com"" target=""_top"">info@wilsonestates.com</a> <br>
									
									01613030778
								</p>
								
									<p>
										<a href=""https://www.awilsonestates.com"" target=""_blank"">https://www.awilsonestates.com <span class=""ico-propm-external-link""></span></a>
									</p>
								
							</div>
						</div>

						<p></p>

						
							<br>
							<h6>Services</h6>

							<div class=""panel bg-green-light"">
								<div class=""panel-body"">
									<ul>
										
											<li>Commercial Sales</li>
										
											<li>Commercial Lettings</li>
										
											<li>Residential Property Management</li>
										
											<li>Residential Lettings</li>
										
											<li>Valuation Property</li>
										
											<li>Block Management</li>
										
											<li>Residential Sales</li>
										
											<li>Inventory</li>
										
											<li>Auctions Real Property</li>
										
											<li>Land and new homes</li>
										
									</ul>
								</div>
							</div>
						


						<br>

						
					",https://www.propertymark.co.uk/company/a-wilson-estates-ltd.html
A&A ESTATE AGENT LIMITED,"Torpoint Town Council Offices, 1-3 Buller Road, Torpoint, PL11 2LD, Great Britain",01752710777,admin@aa-estateagent.co.uk,//www.aa-estateagent.co.uk,"['Residential Property Management', 'Residential Lettings', 'Residential Sales']","
						<div class=""member-directory-detail"">
							<div class=""logo"">
								
									<span class=""img-placeholder"">
										
											A
										
									</span>
								

							</div>
							<div class=""details"">
								<h6>A&amp;A Estate Agent Limited</h6>
								<p>
									Torpoint Town Council Offices, 1-3 Buller Road, Torpoint, PL11 2LD, Great Britain <br>
									
										<a href=""mailto:admin@aa-estateagent.co.uk"" target=""_top"">admin@aa-estateagent.co.uk</a> <br>
									
									01752710777
								</p>
								
									<p>
										<a href=""//www.aa-estateagent.co.uk"" target=""_blank"">www.aa-estateagent.co.uk <span class=""ico-propm-external-link""></span></a>
									</p>
								
							</div>
						</div>

						<p></p>

						
							<br>
							<h6>Services</h6>

							<div class=""panel bg-green-light"">
								<div class=""panel-body"">
									<ul>
										
											<li>Residential Property Management</li>
										
											<li>Residential Lettings</li>
										
											<li>Residential Sales</li>
										
									</ul>
								</div>
							</div>
						


						<br>

						
					",https://www.propertymark.co.uk/company/a-a-estate-agent-limited-2.html
A&D (NORWICH) LIMITED,"10 Queen Street, Norwich, NR2 4TA, Great Britain",,info@a-davey.com,//www.a-davey.com,['Residential Sales'],"
						<div class=""member-directory-detail"">
							<div class=""logo"">
								
									<span class=""img-placeholder"">
										
											A
										
									</span>
								

							</div>
							<div class=""details"">
								<h6>A&amp;D (Norwich) Limited</h6>
								<p>
									10 Queen Street, Norwich, NR2 4TA, Great Britain <br>
									
										<a href=""mailto:info@a-davey.com"" target=""_top"">info@a-davey.com</a> <br>
									
									
								</p>
								
									<p>
										<a href=""//www.a-davey.com"" target=""_blank"">www.a-davey.com <span class=""ico-propm-external-link""></span></a>
									</p>
								
							</div>
						</div>

						<p></p>

						
							<br>
							<h6>Services</h6>

							<div class=""panel bg-green-light"">
								<div class=""panel-body"">
									<ul>
										
											<li>Residential Sales</li>
										
									</ul>
								</div>
							</div>
						


						<br>

						
					",https://www.propertymark.co.uk/company/a-d-norwich-limited-2.html
A&S PROPERTIES DUNDEE,"East Haddon Road, Dundee, DD4 7LD, Great Britain",01382250034,dundee@asproperty.co.uk,//www.asproperty.co.uk,"['Commercial Lettings', 'Residential Property Management', 'Residential Lettings', 'Commercial Property Management']","
						<div class=""member-directory-detail"">
							<div class=""logo"">
								
									<span class=""img-placeholder"">
										
											A
										
									</span>
								

							</div>
							<div class=""details"">
								<h6>A&amp;S Properties Dundee</h6>
								<p>
									East Haddon Road, Dundee, DD4 7LD, Great Britain <br>
									
										<a href=""mailto:dundee@asproperty.co.uk"" target=""_top"">dundee@asproperty.co.uk</a> <br>
									
									01382250034
								</p>
								
									<p>
										<a href=""//www.asproperty.co.uk"" target=""_blank"">www.asproperty.co.uk <span class=""ico-propm-external-link""></span></a>
									</p>
								
							</div>
						</div>

						<p></p>

						
							<br>
							<h6>Services</h6>

							<div class=""panel bg-green-light"">
								<div class=""panel-body"">
									<ul>
										
											<li>Commercial Lettings</li>
										
											<li>Residential Property Management</li>
										
											<li>Residential Lettings</li>
										
											<li>Commercial Property Management</li>
										
									</ul>
								</div>
							</div>
						


						<br>

						
					",https://www.propertymark.co.uk/company/a-s-properties-dundee-2.html
ASP GLASGOW LTD,"199 Maryhill Road, Glasgow, G20 7XJ, Great Britain",01412802900,,//www.asproperty.co.uk,"['Commercial Lettings', 'Residential Property Management', 'Residential Lettings', 'Commercial Property Management']","
						<div class=""member-directory-detail"">
							<div class=""logo"">
								
									<span class=""img-placeholder"">
										
											A
										
									</span>
								

							</div>
							<div class=""details"">
								<h6>ASP Glasgow Ltd</h6>
								<p>
									199 Maryhill Road, Glasgow, G20 7XJ, Great Britain <br>
									
									01412802900
								</p>
								
									<p>
										<a href=""//www.asproperty.co.uk"" target=""_blank"">www.asproperty.co.uk <span class=""ico-propm-external-link""></span></a>
									</p>
								
							</div>
						</div>

						<p></p>

						
							<br>
							<h6>Services</h6>

							<div class=""panel bg-green-light"">
								<div class=""panel-body"">
									<ul>
										
											<li>Commercial Lettings</li>
										
											<li>Residential Property Management</li>
										
											<li>Residential Lettings</li>
										
											<li>Commercial Property Management</li>
										
									</ul>
								</div>
							</div>
						


						<br>

						
					",https://www.propertymark.co.uk/company/asp-glasgow-ltd-2.html
MR AFZAL MOHAMMED,"7 County Place, Perth, PH2 8EE, Great Britain",01738446928,mail@asproperty.co.uk,//www.asproperty.co.uk,"['Residential Property Management', 'Residential Lettings', 'Residential Sales', 'Inventory']","
						<div class=""member-directory-detail"">
							<div class=""logo"">
								
									<span class=""img-placeholder"">
										
											A
										
									</span>
								

							</div>
							<div class=""details"">
								<h6>Mr Afzal Mohammed</h6>
								<p>
									7 County Place, Perth, PH2 8EE, Great Britain <br>
									
										<a href=""mailto:mail@asproperty.co.uk"" target=""_top"">mail@asproperty.co.uk</a> <br>
									
									01738446928
								</p>
								
									<p>
										<a href=""//www.asproperty.co.uk"" target=""_blank"">www.asproperty.co.uk <span class=""ico-propm-external-link""></span></a>
									</p>
								
							</div>
						</div>

						<p></p>

						
							<br>
							<h6>Services</h6>

							<div class=""panel bg-green-light"">
								<div class=""panel-body"">
									<ul>
										
											<li>Residential Property Management</li>
										
											<li>Residential Lettings</li>
										
											<li>Residential Sales</li>
										
											<li>Inventory</li>
										
									</ul>
								</div>
							</div>
						


						<br>

						
					",https://www.propertymark.co.uk/company/mr-afzal-mohammed.html
A7Z LTD,"S B C House, Restmor Way, Wallington, SM6 7AH, Great Britain",,,,"['Commercial Sales', 'Residential Sales']","
						<div class=""member-directory-detail"">
							<div class=""logo"">
								
									<span class=""img-placeholder"">
										
											A
										
									</span>
								

							</div>
							<div class=""details"">
								<h6>A7Z Ltd</h6>
								<p>
									S B C House, Restmor Way, Wallington, SM6 7AH, Great Britain <br>
									
									
								</p>
								
							</div>
						</div>

						<p></p>

						
							<br>
							<h6>Services</h6>

							<div class=""panel bg-green-light"">
								<div class=""panel-body"">
									<ul>
										
											<li>Commercial Sales</li>
										
											<li>Residential Sales</li>
										
									</ul>
								</div>
							</div>
						


						<br>

						
					",https://www.propertymark.co.uk/company/a7z-ltd.html
AA PROPERTY SERVICES UK LTD,"392 Finchley Road, London, NW2 2HR, Great Britain",02077946559,aa@aapropertyuk.com,//www.aaproperty.co.uk,"['Residential Property Management', 'Residential Lettings', 'Residential Sales']","
						<div class=""member-directory-detail"">
							<div class=""logo"">
								
									<span class=""img-placeholder"">
										
											A
										
									</span>
								

							</div>
							<div class=""details"">
								<h6>AA Property Services UK Ltd</h6>
								<p>
									392 Finchley Road, London, NW2 2HR, Great Britain <br>
									
										<a href=""mailto:aa@aapropertyuk.com"" target=""_top"">aa@aapropertyuk.com</a> <br>
									
									02077946559
								</p>
								
									<p>
										<a href=""//www.aaproperty.co.uk"" target=""_blank"">www.aaproperty.co.uk <span class=""ico-propm-external-link""></span></a>
									</p>
								
							</div>
						</div>

						<p></p>

						
							<br>
							<h6>Services</h6>

							<div class=""panel bg-green-light"">
								<div class=""panel-body"">
									<ul>
										
											<li>Residential Property Management</li>
										
											<li>Residential Lettings</li>
										
											<li>Residential Sales</li>
										
									</ul>
								</div>
							</div>
						


						<br>

						
					",https://www.propertymark.co.uk/company/aa-property-services-uk-ltd.html
CASA DE MONTE SERRANA LTD,"27 Old Gloucester Street, London, WC1N 3AX, Great Britain",,,//www.magisterartium.org,[],"
						<div class=""member-directory-detail"">
							<div class=""logo"">
								
									<span class=""img-placeholder"">
										
											A
										
									</span>
								

							</div>
							<div class=""details"">
								<h6>Casa De Monte Serrana Ltd</h6>
								<p>
									27 Old Gloucester Street, London, WC1N 3AX, Great Britain <br>
									
									
								</p>
								
									<p>
										<a href=""//www.magisterartium.org"" target=""_blank"">www.magisterartium.org <span class=""ico-propm-external-link""></span></a>
									</p>
								
							</div>
						</div>

						<p></p>

						


						<br>

						
					",https://www.propertymark.co.uk/company/casa-de-monte-serrana-ltd.html
BEVERLEY DALEY,"C/o Casa De Monte Serrana Ltd, 27 Old Gloucester Street, London, WC1N 3AX, Great Britain",02033011118,AaA.Inventory@magisterartium.org,//www.magisterartium.org,['Inventory'],"
						<div class=""member-directory-detail"">
							<div class=""logo"">
								
									<span class=""img-placeholder"">
										
											A
										
									</span>
								

							</div>
							<div class=""details"">
								<h6>Beverley Daley</h6>
								<p>
									C/o Casa De Monte Serrana Ltd, 27 Old Gloucester Street, London, WC1N 3AX, Great Britain <br>
									
										<a href=""mailto:AaA.Inventory@magisterartium.org"" target=""_top"">AaA.Inventory@magisterartium.org</a> <br>
									
									02033011118
								</p>
								
									<p>
										<a href=""//www.magisterartium.org"" target=""_blank"">www.magisterartium.org <span class=""ico-propm-external-link""></span></a>
									</p>
								
							</div>
						</div>

						<p></p>

						
							<br>
							<h6>Services</h6>

							<div class=""panel bg-green-light"">
								<div class=""panel-body"">
									<ul>
										
											<li>Inventory</li>
										
									</ul>
								</div>
							</div>
						


						<br>

						
					",https://www.propertymark.co.uk/company/beverley-daley.html
ABACUS BUSINESS SALES,"15a St. Marys Place, Bury, BL9 0DZ, Great Britain",,,,"['Commercial Sales', 'Commercial Lettings']","
						<div class=""member-directory-detail"">
							<div class=""logo"">
								
									<span class=""img-placeholder"">
										
											A
										
									</span>
								

							</div>
							<div class=""details"">
								<h6>Abacus Business Sales</h6>
								<p>
									15a St. Marys Place, Bury, BL9 0DZ, Great Britain <br>
									
									
								</p>
								
							</div>
						</div>

						<p></p>

						
							<br>
							<h6>Services</h6>

							<div class=""panel bg-green-light"">
								<div class=""panel-body"">
									<ul>
										
											<li>Commercial Sales</li>
										
											<li>Commercial Lettings</li>
										
									</ul>
								</div>
							</div>
						


						<br>

						
					",https://www.propertymark.co.uk/company/abacus-business-sales-2.html
ABBEY ESTATE AGENTS LIMITED,"108 Upminster Road South, Rainham, RM13 9AB, Great Britain",01708554672,info@abbey-homes.co.uk,https://www.abbey-homes.co.uk,"['Residential Property Management', 'Residential Lettings', 'Residential Sales']","
						<div class=""member-directory-detail"">
							<div class=""logo"">
								
									<span class=""img-placeholder"">
										
											A
										
									</span>
								

							</div>
							<div class=""details"">
								<h6>Abbey Estate Agents Limited</h6>
								<p>
									108 Upminster Road South, Rainham, RM13 9AB, Great Britain <br>
									
										<a href=""mailto:info@abbey-homes.co.uk"" target=""_top"">info@abbey-homes.co.uk</a> <br>
									
									01708554672
								</p>
								
									<p>
										<a href=""https://www.abbey-homes.co.uk"" target=""_blank"">https://www.abbey-homes.co.uk <span class=""ico-propm-external-link""></span></a>
									</p>
								
							</div>
						</div>

						<p></p>

						
							<br>
							<h6>Services</h6>

							<div class=""panel bg-green-light"">
								<div class=""panel-body"">
									<ul>
										
											<li>Residential Property Management</li>
										
											<li>Residential Lettings</li>
										
											<li>Residential Sales</li>
										
									</ul>
								</div>
							</div>
						


						<br>

						
					",https://www.propertymark.co.uk/company/abbey-estate-agents-limited.html
ABBEY PROPERTIES,"Market Square, Bampton, OX18 2JH, Great Britain",01993851881,bampton@abbeyproperties.tv,//www.abbeyproperties.tv,['Residential Sales'],"
						<div class=""member-directory-detail"">
							<div class=""logo"">
								
									<span class=""img-placeholder"">
										
											A
										
									</span>
								

							</div>
							<div class=""details"">
								<h6>Abbey Properties</h6>
								<p>
									Market Square, Bampton, OX18 2JH, Great Britain <br>
									
										<a href=""mailto:bampton@abbeyproperties.tv"" target=""_top"">bampton@abbeyproperties.tv</a> <br>
									
									01993851881
								</p>
								
									<p>
										<a href=""//www.abbeyproperties.tv"" target=""_blank"">www.abbeyproperties.tv <span class=""ico-propm-external-link""></span></a>
									</p>
								
							</div>
						</div>

						<p></p>

						
							<br>
							<h6>Services</h6>

							<div class=""panel bg-green-light"">
								<div class=""panel-body"">
									<ul>
										
											<li>Residential Sales</li>
										
									</ul>
								</div>
							</div>
						


						<br>

						
					",https://www.propertymark.co.uk/company/abbey-properties-2.html
ABBEY PROPERTIES (EYNSHAM) LIMITED,"9 High Street, Eynsham, Witney, OX29 4HA, Great Britain",01865880697,eynsham@abbeyproperties.tv,//www.abbey-properties.co.uk,"['Residential Sales', 'Auctions Real Property', 'Land and new homes']","
						<div class=""member-directory-detail"">
							<div class=""logo"">
								
									<span class=""img-placeholder"">
										
											A
										
									</span>
								

							</div>
							<div class=""details"">
								<h6>Abbey Properties (Eynsham) Limited</h6>
								<p>
									9 High Street, Eynsham, Witney, OX29 4HA, Great Britain <br>
									
										<a href=""mailto:eynsham@abbeyproperties.tv"" target=""_top"">eynsham@abbeyproperties.tv</a> <br>
									
									01865880697
								</p>
								
									<p>
										<a href=""//www.abbey-properties.co.uk"" target=""_blank"">www.abbey-properties.co.uk <span class=""ico-propm-external-link""></span></a>
									</p>
								
							</div>
						</div>

						<p></p>

						
							<br>
							<h6>Services</h6>

							<div class=""panel bg-green-light"">
								<div class=""panel-body"">
									<ul>
										
											<li>Residential Sales</li>
										
											<li>Auctions Real Property</li>
										
											<li>Land and new homes</li>
										
									</ul>
								</div>
							</div>
						


						<br>

						
					",https://www.propertymark.co.uk/company/abbey-properties-eynsham-limited-2.html
ABBEY RESIDENTIAL AGENTS LIMITED,"64 High Street, Neath, SA11 5DA, Great Britain",,,,[],"
						<div class=""member-directory-detail"">
							<div class=""logo"">
								
									<span class=""img-placeholder"">
										
											A
										
									</span>
								

							</div>
							<div class=""details"">
								<h6>Abbey Residential Agents Limited</h6>
								<p>
									64 High Street, Neath, SA11 5DA, Great Britain <br>
									
									
								</p>
								
							</div>
						</div>

						<p></p>

						


						<br>

						
					",https://www.propertymark.co.uk/company/abbey-residential-agents-limited-3.html
ABBEY RESIDENTIAL AGENTS LIMITED,"49 Windsor Road, Neath, SA11 1NG, Great Britain",01639339997,simon@abbeyresidentialagents.co.uk,//www.abbeyresidentialagents.co.uk,['Residential Sales'],"
						<div class=""member-directory-detail"">
							<div class=""logo"">
								
									<span class=""img-placeholder"">
										
											A
										
									</span>
								

							</div>
							<div class=""details"">
								<h6>Abbey Residential Agents Limited</h6>
								<p>
									49 Windsor Road, Neath, SA11 1NG, Great Britain <br>
									
										<a href=""mailto:simon@abbeyresidentialagents.co.uk"" target=""_top"">simon@abbeyresidentialagents.co.uk</a> <br>
									
									01639339997
								</p>
								
									<p>
										<a href=""//www.abbeyresidentialagents.co.uk"" target=""_blank"">www.abbeyresidentialagents.co.uk <span class=""ico-propm-external-link""></span></a>
									</p>
								
							</div>
						</div>

						<p></p>

						
							<br>
							<h6>Services</h6>

							<div class=""panel bg-green-light"">
								<div class=""panel-body"">
									<ul>
										
											<li>Residential Sales</li>
										
									</ul>
								</div>
							</div>
						


						<br>

						
					",https://www.propertymark.co.uk/company/abbey-residential-agents-limited.html
ABBEY VALUERS LIMITED,"6 Tall Pines, Plantation Road, Leighton Buzzard, LU7 3FW, Great Britain",01525385083,ray@abbeyvaluers.co.uk,https://www.abbeyvaluers.co.uk,"['Valuation Property', 'Bailiff and Insolvency Practice']","
						<div class=""member-directory-detail"">
							<div class=""logo"">
								
									<span class=""img-placeholder"">
										
											A
										
									</span>
								

							</div>
							<div class=""details"">
								<h6>Abbey Valuers Limited</h6>
								<p>
									6 Tall Pines, Plantation Road, Leighton Buzzard, LU7 3FW, Great Britain <br>
									
										<a href=""mailto:ray@abbeyvaluers.co.uk"" target=""_top"">ray@abbeyvaluers.co.uk</a> <br>
									
									01525385083
								</p>
								
									<p>
										<a href=""https://www.abbeyvaluers.co.uk"" target=""_blank"">https://www.abbeyvaluers.co.uk <span class=""ico-propm-external-link""></span></a>
									</p>
								
							</div>
						</div>

						<p></p>

						
							<br>
							<h6>Services</h6>

							<div class=""panel bg-green-light"">
								<div class=""panel-body"">
									<ul>
										
											<li>Valuation Property</li>
										
											<li>Bailiff and Insolvency Practice</li>
										
									</ul>
								</div>
							</div>
						


						<br>

						
					",https://www.propertymark.co.uk/company/abbey-valuers-limited.html
ABBEY VALUERS LIMITED,"6 Tall Pines, Plantation Road, Leighton Buzzard, LU7 3FW, Great Britain",,,,"['Valuation Property', 'Bailiff and Insolvency Practice']","
						<div class=""member-directory-detail"">
							<div class=""logo"">
								
									<span class=""img-placeholder"">
										
											A
										
									</span>
								

							</div>
							<div class=""details"">
								<h6>Abbey Valuers Limited</h6>
								<p>
									6 Tall Pines, Plantation Road, Leighton Buzzard, LU7 3FW, Great Britain <br>
									
									
								</p>
								
							</div>
						</div>

						<p></p>

						
							<br>
							<h6>Services</h6>

							<div class=""panel bg-green-light"">
								<div class=""panel-body"">
									<ul>
										
											<li>Valuation Property</li>
										
											<li>Bailiff and Insolvency Practice</li>
										
									</ul>
								</div>
							</div>
						


						<br>

						
					",https://www.propertymark.co.uk/company/abbey-valuers-limited-3.html
ABBOT & SLATER LLP,"The Barn, Gards Farm, Tarrant Monkton, Blandford Forum, DT11 8RX, Great Britain",01258830860,cslater@abbotandslater.co.uk,//www.abbotandslater.co.uk,['Residential Sales'],"
						<div class=""member-directory-detail"">
							<div class=""logo"">
								
									<span class=""img-placeholder"">
										
											A
										
									</span>
								

							</div>
							<div class=""details"">
								<h6>Abbot &amp; Slater LLP</h6>
								<p>
									The Barn, Gards Farm, Tarrant Monkton, Blandford Forum, DT11 8RX, Great Britain <br>
									
										<a href=""mailto:cslater@abbotandslater.co.uk"" target=""_top"">cslater@abbotandslater.co.uk</a> <br>
									
									01258830860
								</p>
								
									<p>
										<a href=""//www.abbotandslater.co.uk"" target=""_blank"">www.abbotandslater.co.uk <span class=""ico-propm-external-link""></span></a>
									</p>
								
							</div>
						</div>

						<p></p>

						
							<br>
							<h6>Services</h6>

							<div class=""panel bg-green-light"">
								<div class=""panel-body"">
									<ul>
										
											<li>Residential Sales</li>
										
									</ul>
								</div>
							</div>
						


						<br>

						
					",https://www.propertymark.co.uk/company/abbot-slater-llp-2.html
ABBOT & SLATER,"Abbott & Slater Ltd, Market Cross, Sturminster Newton, DT10 1AN, Great Britain",01258830860,,//www.abbotandslater.co.uk,['Residential Sales'],"
						<div class=""member-directory-detail"">
							<div class=""logo"">
								
									<span class=""img-placeholder"">
										
											A
										
									</span>
								

							</div>
							<div class=""details"">
								<h6>Abbot &amp; Slater</h6>
								<p>
									Abbott &amp; Slater Ltd, Market Cross, Sturminster Newton, DT10 1AN, Great Britain <br>
									
									01258830860
								</p>
								
									<p>
										<a href=""//www.abbotandslater.co.uk"" target=""_blank"">www.abbotandslater.co.uk <span class=""ico-propm-external-link""></span></a>
									</p>
								
							</div>
						</div>

						<p></p>

						
							<br>
							<h6>Services</h6>

							<div class=""panel bg-green-light"">
								<div class=""panel-body"">
									<ul>
										
											<li>Residential Sales</li>
										
									</ul>
								</div>
							</div>
						


						<br>

						
					",https://www.propertymark.co.uk/company/abbot-slater-2.html
ABBOTTS COUNTRYWIDE,"113 High Street, Colchester, CO1 1TB, Great Britain",01206203037,,http://www.abbotts.co.uk/,['Residential Sales'],"
						<div class=""member-directory-detail"">
							<div class=""logo"">
								
									<span class=""img-placeholder"">
										
											A
										
									</span>
								

							</div>
							<div class=""details"">
								<h6>Abbotts Countrywide</h6>
								<p>
									113 High Street, Colchester, CO1 1TB, Great Britain <br>
									
									01206203037
								</p>
								
									<p>
										<a href=""http://www.abbotts.co.uk/"" target=""_blank"">http://www.abbotts.co.uk/ <span class=""ico-propm-external-link""></span></a>
									</p>
								
							</div>
						</div>

						<p></p>

						
							<br>
							<h6>Services</h6>

							<div class=""panel bg-green-light"">
								<div class=""panel-body"">
									<ul>
										
											<li>Residential Sales</li>
										
									</ul>
								</div>
							</div>
						


						<br>

						
					",https://www.propertymark.co.uk/company/abbotts-countrywide.html
ABBOTTS COUNTRYWIDE,"36 Church Street, Woodbridge, IP12 1DH, Great Britain",01394300718,,http://www.abbotts.co.uk/,['Residential Sales'],"
						<div class=""member-directory-detail"">
							<div class=""logo"">
								
									<span class=""img-placeholder"">
										
											A
										
									</span>
								

							</div>
							<div class=""details"">
								<h6>Abbotts Countrywide</h6>
								<p>
									36 Church Street, Woodbridge, IP12 1DH, Great Britain <br>
									
									01394300718
								</p>
								
									<p>
										<a href=""http://www.abbotts.co.uk/"" target=""_blank"">http://www.abbotts.co.uk/ <span class=""ico-propm-external-link""></span></a>
									</p>
								
							</div>
						</div>

						<p></p>

						
							<br>
							<h6>Services</h6>

							<div class=""panel bg-green-light"">
								<div class=""panel-body"">
									<ul>
										
											<li>Residential Sales</li>
										
									</ul>
								</div>
							</div>
						


						<br>

						
					",https://www.propertymark.co.uk/company/abbotts-countrywide-2.html
ABBOTTS COUNTRYWIDE LETTINGS,"16 Market Square, Rochford, SS4 1AJ, Great Britain",01702272710,,http://www.abbotts.co.uk/,['Residential Lettings'],"
						<div class=""member-directory-detail"">
							<div class=""logo"">
								
									<span class=""img-placeholder"">
										
											A
										
									</span>
								

							</div>
							<div class=""details"">
								<h6>Abbotts Countrywide Lettings </h6>
								<p>
									16 Market Square, Rochford, SS4 1AJ, Great Britain <br>
									
									01702272710
								</p>
								
									<p>
										<a href=""http://www.abbotts.co.uk/"" target=""_blank"">http://www.abbotts.co.uk/ <span class=""ico-propm-external-link""></span></a>
									</p>
								
							</div>
						</div>

						<p></p>

						
							<br>
							<h6>Services</h6>

							<div class=""panel bg-green-light"">
								<div class=""panel-body"">
									<ul>
										
											<li>Residential Lettings</li>
										
									</ul>
								</div>
							</div>
						


						<br>

						
					",https://www.propertymark.co.uk/company/abbotts-countrywide-lettings-20.html
ABBOTTS COUNTRYWIDE,"1 Risbygate Street, Bury St. Edmunds, IP33 3AA, Great Britain",01284799493,,http://www.abbotts.co.uk/,['Residential Sales'],"
						<div class=""member-directory-detail"">
							<div class=""logo"">
								
									<span class=""img-placeholder"">
										
											A
										
									</span>
								

							</div>
							<div class=""details"">
								<h6>Abbotts Countrywide</h6>
								<p>
									1 Risbygate Street, Bury St. Edmunds, IP33 3AA, Great Britain <br>
									
									01284799493
								</p>
								
									<p>
										<a href=""http://www.abbotts.co.uk/"" target=""_blank"">http://www.abbotts.co.uk/ <span class=""ico-propm-external-link""></span></a>
									</p>
								
							</div>
						</div>

						<p></p>

						
							<br>
							<h6>Services</h6>

							<div class=""panel bg-green-light"">
								<div class=""panel-body"">
									<ul>
										
											<li>Residential Sales</li>
										
									</ul>
								</div>
							</div>
						


						<br>

						
					",https://www.propertymark.co.uk/company/abbotts-countrywide-52.html
